iter	RMSE
0	775006.5711
1	740633.5046
2	708727.8676
3	679632.0281
4	650191.109
5	622206.2575
6	596821.6159
7	572167.0208
8	549952.7675
9	528659.0383
10	508359.9095
11	488010.2016
12	469722.9946
13	452536.9243
14	437092.6019
15	421929.4627
16	407570.51
17	394281.6941
18	382751.1617
19	370651.1237
20	359342.4796
21	348884.2891
22	338584.7292
23	329591.333
24	320392.8352
25	312357.798
26	304484.9898
27	297278.6234
28	290238.915
29	283641.6864
30	277666.6397
31	271988.7218
32	266810.225
33	261970.5484
34	257290.4048
35	253457.9255
36	249266.1417
37	245649.5947
38	241691.1683
39	238727.331
40	235209.6206
41	232088.2209
42	229140.4738
43	226324.343
44	223563.9852
45	220949.0416
46	218845.5577
47	217121.4371
48	215283.4718
49	213319.2962
50	211682.3371
51	210131.8969
52	208705.755
53	207425.986
54	206045.1216
55	205030.9532
56	203879.9401
57	202624.7648
58	202068.4749
59	201673.1678
60	200783.7672
61	200156.8918
62	199863.8382
63	198914.1493
64	197528.1191
65	196611.2616
66	196028.0003
67	195060.9088
68	194582.4457
69	194341.9687
70	193465.5726
71	192752.9812
72	192191.8301
73	191424.234
74	190713.574
75	190137.1929
76	189715.3009
77	189524.2507
78	188892.4346
79	188654.4635
80	188375.0594
81	187405.5166
82	186729.7401
83	186575.3518
84	186468.0466
85	185391.8314
86	185244.098
87	184688.1713
88	184391.6339
89	183613.0758
90	183486.3897
91	182889.6707
92	181754.3271
93	181575.3777
94	181274.144
95	181192.9294
96	180818.1762
97	180339.8905
98	179478.0898
99	179054.7848
100	178326.1868
101	178164.1873
102	177630.3965
103	176857.2983
104	176277.4828
105	175879.8406
106	175419.4479
107	175319.6552
108	174978.4058
109	174702.7088
110	174308.8149
111	173988.4352
112	173625.2861
113	172974.7125
114	172639.9307
115	172110.7442
116	171801.7887
117	171711.2195
118	171666.5153
119	171090.3158
120	170484.5694
121	169834.2352
122	169210.2369
123	168414.0917
124	167871.3786
125	167429.1258
126	166568.3149
127	165885.8301
128	165520.6789
129	165073.2001
130	164885.4379
131	164851.6684
132	164214.5232
133	163703.5008
134	163421.0046
135	163074.0401
136	162750.0027
137	162105.596
138	161729.7609
139	161577.5266
140	160855.4522
141	160276.4525
142	159957.1529
143	159482.6034
144	159442.1943
145	159272.0286
146	158856.155
147	158440.0511
148	157945.2467
149	157363.8874
150	157267.5665
151	157193.2713
152	156823.2475
153	156376.6469
154	156237.3702
155	156032.9938
156	155600.0225
157	155453.1462
158	155423.7302
159	155149.1935
160	154878.2198
